% program   : RTKPOST ver.2.4.2
% obs_start : 2019/10/29 01:44:23.0 GPST
% obs_end   : 2019/10/29 01:54:54.0 GPST
% pos_mode  : ppp-static
% solution  : forward
% tropo opt : saastamoinen
% ephemeris : broadcast
% antenna1  : ( 0.0000  0.0000  0.0000)
% ====================================  END OF HEADER
%  GPST           x-ecef(m)             y-ecef(m)      z-ecef(m)   Q 
2018/10/29 01:45:58.000  3664881.0095       1409189.9698          5009619.3156  6 
2018/10/29 01:45:59.000  3664881.4156       1409190.4317          5009618.3237  6 
2018/10/29 01:46:00.000  3664882.0826       1409190.6959          5009619.2953  1 
2018/10/29 01:46:01.000  3664880.9270       1409189.1008       5009618.7114  6 
2018/10/29 01:46:02.000  3664881.2116       1409190.0814       5009619.0274  6 
2018/10/29 01:46:03.000  3664881.5024       1409189.9908       5009618.0116  6 
2018/10/29 01:46:04.000  3664880.7490       1409190.8216       5009618.0159  6 
2018/10/29 01:46:05.000  3664881.0930       1409189.8659       5009616.4878  6 
2018/10/29 01:46:06.000  3664880.9308       1409189.5325       5009618.1808  6 
2018/10/29 01:46:07.000  3664879.9141       1409191.1026          5009618.2128  6 
2018/10/29 01:46:08.000  3664880.9667       1409190.6553          5009618.8956  6 
2018/10/29 01:46:09.000  3664880.4214       1409191.3815          5009618.5921  5 
2018/10/29 01:46:10.000  3664880.9297       1409189.9327          5009619.2738  6 
2018/10/29 01:46:11.000  3664881.7172       1409190.8005          5009617.5131  6 
2018/10/29 01:46:12.000  3664882.2240          1409190.4189          5009618.5682  6 
2018/10/29 01:46:13.000  3664880.3573          1409190.5034          5009619.0746  6 
2018/10/29 01:46:14.000  3664880.6367          1409191.0210          5009618.2861  6 
2018/10/29 01:46:15.000  3664881.4318          1409190.0148          5009618.5505  6 
2018/10/29 01:46:16.000  3664881.3419          1409190.5568          5009617.7382  6 
2018/10/29 01:46:17.000  3664880.5194          1409189.3851          5009619.5303  6 
2018/10/29 01:46:18.000  3664881.1005          1409189.3393          5009617.2685  6 
2018/10/29 01:46:19.000  3664881.1827          1409190.4563          5009617.3046  6 
2018/10/29 01:46:20.000  3664881.3068          1409189.4686          5009618.0692  6 
2018/10/29 01:46:21.000  3664881.3943          1409190.6373          5009618.8302  6 
2018/10/29 01:46:22.000  3664880.8079          1409190.1658          5009617.6610  6 
2018/10/29 01:46:23.000  3664882.4990          1409190.3910          5009618.9278  6 
2018/10/29 01:46:24.000  3664880.1804          1409190.2327          5009619.4723  6 
2018/10/29 01:46:25.000  3664880.9796          1409190.6509          5009617.7490  6 
2018/10/29 01:46:26.000  3664880.5064          1409190.7972          5009618.1528  6 
2018/10/29 01:46:27.000  3664881.3518          1409190.6906          5009618.2216  6 
2018/10/29 01:46:28.000  3664881.2323      1409190.3591          5009617.4218  6 
2018/10/29 01:46:29.000  3664880.1727      1409188.5591          5009618.2398  6 
2018/10/29 01:46:30.000  3664879.5260      1409190.5477          5009618.0117  6 
2018/10/29 01:46:31.000  3664882.4124      1409190.7672          5009618.5212  6 
2018/10/29 01:46:32.000  3664880.2898      1409190.7612          5009616.6910  6 
2018/10/29 01:46:33.000  3664880.6826      1409190.3930          5009617.4807  6 
2018/10/29 01:46:34.000  3664881.0976      1409190.7608          5009618.0180  6 
2018/10/29 01:46:35.000  3664879.9181      1409190.1084          5009618.4202  6 
2018/10/29 01:46:36.000  3664881.1745      1409190.4144          5009618.7445  6 
2018/10/29 01:46:37.000  3664880.3493      1409190.2093          5009617.8083  6 
2018/10/29 01:46:38.000  3664880.2920      1409191.0540          5009618.1942  6 
2018/10/29 01:46:39.000  3664881.2061      1409190.1034          5009619.1755  6 
2018/10/29 01:46:40.000  3664880.9757      1409191.3717          5009618.2283  6 
2018/10/29 01:46:41.000  3664881.1199      1409189.2551          5009616.6827  6 
2018/10/29 01:46:42.000  3664880.4604      1409189.9295          5009620.0639  6 
